HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.favoritechain1,Answer.favoritechain2,Answer.favoritechain3,Answer.favoritechain4,Answer.favoriteitem1,Answer.favoriteitem2,Answer.favoriteitem3,Answer.favoriteitem4,Answer.option1,Answer.option2,Answer.option3,Answer.option4,Approve,Reject
3ZTE0JGGDMS4YNOCPSDL1ERQXISOC7,3KIFW8VYCHONZ9HQKKZM09JQS93PBJ,"30-60 second quick survey about your favorite resturants and food, $12-24/h",Tell us your favorite chain resturants and what items you like most,"survey, food, chain, resturant, easy, fast",$0.20 ,Thu Apr 01 18:28:07 PDT 2021,101,BatchId:4391393;OriginalHitTemplateId:928390912;,300,86400,Sat Apr 03 18:28:07 PDT 2021,,,31EUONYN2332JGS66BDSGPB24OMVOM,ARR3UJTM2ZGK4,Approved,Thu Apr 01 18:32:37 PDT 2021,Thu Apr 01 18:34:17 PDT 2021,Fri Apr 02 18:34:17 PDT 2021,Thu Apr 01 19:20:25 PDT 2021,,,100,100% (1/1),100% (1/1),100% (1/1),Red Lobster,Olive Garden,Wendy's,McDonald's,Cheddar Bay biscuits,Salad,Frosty,Grilled chicken salad,,,,,,
3ZTE0JGGDMS4YNOCPSDL1ERQXISOC7,3KIFW8VYCHONZ9HQKKZM09JQS93PBJ,"30-60 second quick survey about your favorite resturants and food, $12-24/h",Tell us your favorite chain resturants and what items you like most,"survey, food, chain, resturant, easy, fast",$0.20 ,Thu Apr 01 18:28:07 PDT 2021,101,BatchId:4391393;OriginalHitTemplateId:928390912;,300,86400,Sat Apr 03 18:28:07 PDT 2021,,,31LVTDXBLFA2KO8SKZSQNBI5OD5LR3,A3RD9MJUPEMYCY,Approved,Thu Apr 01 18:41:09 PDT 2021,Thu Apr 01 18:43:55 PDT 2021,Fri Apr 02 18:43:55 PDT 2021,Thu Apr 01 19:20:25 PDT 2021,,,166,100% (1/1),100% (1/1),100% (1/1),Chick fila,Burger King,McDonald,Panera Bread,Chicken salad,Double whopper,Chicken sandwich,Turkey sandwich,,,,,,
3ZTE0JGGDMS4YNOCPSDL1ERQXISOC7,3KIFW8VYCHONZ9HQKKZM09JQS93PBJ,"30-60 second quick survey about your favorite resturants and food, $12-24/h",Tell us your favorite chain resturants and what items you like most,"survey, food, chain, resturant, easy, fast",$0.20 ,Thu Apr 01 18:28:07 PDT 2021,101,BatchId:4391393;OriginalHitTemplateId:928390912;,300,86400,Sat Apr 03 18:28:07 PDT 2021,,,31N2WW6R9ZQO1UDUNYOWA0A5L34F3P,A2FO6J0H70OW05,Approved,Thu Apr 01 18:49:17 PDT 2021,Thu Apr 01 18:52:10 PDT 2021,Fri Apr 02 18:52:10 PDT 2021,Thu Apr 01 19:20:25 PDT 2021,,,173,100% (1/1),100% (1/1),100% (1/1),Cook Out,Chick Fil A,Wendys,Taco Bell,Cheeseburger,Chicken Nuggets,Junior Bacon cheeseburger,Beef Chalupa,,Chick Fil A sauce,,,,
3ZTE0JGGDMS4YNOCPSDL1ERQXISOC7,3KIFW8VYCHONZ9HQKKZM09JQS93PBJ,"30-60 second quick survey about your favorite resturants and food, $12-24/h",Tell us your favorite chain resturants and what items you like most,"survey, food, chain, resturant, easy, fast",$0.20 ,Thu Apr 01 18:28:07 PDT 2021,101,BatchId:4391393;OriginalHitTemplateId:928390912;,300,86400,Sat Apr 03 18:28:07 PDT 2021,,,320DUZ38GFM508BE13M18SR6IFOJG2,A2H1RXUC8XNNIW,Approved,Thu Apr 01 18:28:29 PDT 2021,Thu Apr 01 18:32:22 PDT 2021,Fri Apr 02 18:32:22 PDT 2021,Thu Apr 01 19:20:25 PDT 2021,,,233,100% (1/1),100% (1/1),100% (1/1),Mc donalds,Burger king,Wendy's,Chick-fil-A,Mc nuggets,whoopper,Coffe,spice chicken sandwich,,,,,,
3ZTE0JGGDMS4YNOCPSDL1ERQXISOC7,3KIFW8VYCHONZ9HQKKZM09JQS93PBJ,"30-60 second quick survey about your favorite resturants and food, $12-24/h",Tell us your favorite chain resturants and what items you like most,"survey, food, chain, resturant, easy, fast",$0.20 ,Thu Apr 01 18:28:07 PDT 2021,101,BatchId:4391393;OriginalHitTemplateId:928390912;,300,86400,Sat Apr 03 18:28:07 PDT 2021,,,323Q6SJS8QG3V2KT2JDYEUBF48MFHW,A1LPXDH9RL5LPB,Approved,Thu Apr 01 18:50:44 PDT 2021,Thu Apr 01 18:54:18 PDT 2021,Fri Apr 02 18:54:18 PDT 2021,Thu Apr 01 19:20:25 PDT 2021,,,214,100% (1/1),100% (1/1),100% (1/1),Wendys,Burger King,Chick-fil-a,Subway,Bacon cheese burger,Bacon Cheese Whooper,"Chicken delux sandwhich (which I know was the example, but it is for real my favorite)",Footlong steak and cheese,I like to get the sriracha dipping sauce,Always gotta get fries,Buffalo dipping sauce,"Pepperjack cheese, toasted, with lettuce, tomatoes, banana peppers, and chipotle southewest sauce",,
3ZTE0JGGDMS4YNOCPSDL1ERQXISOC7,3KIFW8VYCHONZ9HQKKZM09JQS93PBJ,"30-60 second quick survey about your favorite resturants and food, $12-24/h",Tell us your favorite chain resturants and what items you like most,"survey, food, chain, resturant, easy, fast",$0.20 ,Thu Apr 01 18:28:07 PDT 2021,101,BatchId:4391393;OriginalHitTemplateId:928390912;,300,86400,Sat Apr 03 18:28:07 PDT 2021,,,32M8BPYGA1M95XR8JL11WRC6500IGQ,A1XX59NYG6TO3J,Approved,Thu Apr 01 18:38:23 PDT 2021,Thu Apr 01 18:39:13 PDT 2021,Fri Apr 02 18:39:13 PDT 2021,Thu Apr 01 19:20:25 PDT 2021,,,50,100% (1/1),100% (1/1),100% (1/1),Chick-Fila,Wendys,McDonalds,Chipotle,Deluxe Chicken Sandwich,Baconator,Big Mac,Carnitas Burrito,Chick-fila sauce,,,,,
3ZTE0JGGDMS4YNOCPSDL1ERQXISOC7,3KIFW8VYCHONZ9HQKKZM09JQS93PBJ,"30-60 second quick survey about your favorite resturants and food, $12-24/h",Tell us your favorite chain resturants and what items you like most,"survey, food, chain, resturant, easy, fast",$0.20 ,Thu Apr 01 18:28:07 PDT 2021,101,BatchId:4391393;OriginalHitTemplateId:928390912;,300,86400,Sat Apr 03 18:28:07 PDT 2021,,,32N49TQG3OIDHCY5WS8AFURXF7JVAO,APF1EAZT104LQ,Approved,Thu Apr 01 18:49:05 PDT 2021,Thu Apr 01 18:50:17 PDT 2021,Fri Apr 02 18:50:17 PDT 2021,Thu Apr 01 19:20:26 PDT 2021,,,72,100% (1/1),100% (1/1),100% (1/1),Red Robin,Outback,carrabbas,longhorn steakhouse,Chocolate Shake,cheese fries,pizza,hamburger,,,,,,
3ZTE0JGGDMS4YNOCPSDL1ERQXISOC7,3KIFW8VYCHONZ9HQKKZM09JQS93PBJ,"30-60 second quick survey about your favorite resturants and food, $12-24/h",Tell us your favorite chain resturants and what items you like most,"survey, food, chain, resturant, easy, fast",$0.20 ,Thu Apr 01 18:28:07 PDT 2021,101,BatchId:4391393;OriginalHitTemplateId:928390912;,300,86400,Sat Apr 03 18:28:07 PDT 2021,,,33IZTU6J8919LXPUD7VJOFIOHOYSXK,A2BF2FUO6F63N7,Approved,Thu Apr 01 18:40:15 PDT 2021,Thu Apr 01 18:43:27 PDT 2021,Fri Apr 02 18:43:27 PDT 2021,Thu Apr 01 19:20:26 PDT 2021,,,192,100% (1/1),100% (1/1),100% (1/1),Gyu-Kaku Japanese BBQ,Gen bbq,popeye,five guys,bbq,miso belly,chicken sandwich,burger,yozu sauce,no,,,,
3ZTE0JGGDMS4YNOCPSDL1ERQXISOC7,3KIFW8VYCHONZ9HQKKZM09JQS93PBJ,"30-60 second quick survey about your favorite resturants and food, $12-24/h",Tell us your favorite chain resturants and what items you like most,"survey, food, chain, resturant, easy, fast",$0.20 ,Thu Apr 01 18:28:07 PDT 2021,101,BatchId:4391393;OriginalHitTemplateId:928390912;,300,86400,Sat Apr 03 18:28:07 PDT 2021,,,33NF62TLXR2A2U7XRU7G6KJZPW5JK5,A9WFXKAF1RF5Q,Approved,Thu Apr 01 18:28:40 PDT 2021,Thu Apr 01 18:31:48 PDT 2021,Fri Apr 02 18:31:48 PDT 2021,Thu Apr 01 19:20:26 PDT 2021,,,188,100% (1/1),100% (1/1),100% (1/1),McDonald,Subway,Cheesecake Factory,California Pizza Kitchen,McDouble,Vege whole roll on Italian bread,Lunch special: salad/pizza,All on thin crust,,,,,,
3ZTE0JGGDMS4YNOCPSDL1ERQXISOC7,3KIFW8VYCHONZ9HQKKZM09JQS93PBJ,"30-60 second quick survey about your favorite resturants and food, $12-24/h",Tell us your favorite chain resturants and what items you like most,"survey, food, chain, resturant, easy, fast",$0.20 ,Thu Apr 01 18:28:07 PDT 2021,101,BatchId:4391393;OriginalHitTemplateId:928390912;,300,86400,Sat Apr 03 18:28:07 PDT 2021,,,33TIN5LC0CAGGNJ59XHUQYK7R62Y9K,ANGDCGR63UBIB,Approved,Thu Apr 01 18:28:33 PDT 2021,Thu Apr 01 18:32:53 PDT 2021,Fri Apr 02 18:32:53 PDT 2021,Thu Apr 01 19:20:26 PDT 2021,,,260,100% (1/1),100% (1/1),100% (1/1),MCDonald,KFC,Burger King,Subway,Crispy mc Bacon,Chicken nuggets,Bacon King Ranch 3.0,Sandwitchs,Chili sauce,BBQ sauce,Ranch sauce,Any Sauce,,
